,name,full_name,language,description,private,url
92,metalearn-leap,amzn/metalearn-leap,Python,Original PyTorch implementation of the Leap meta-learner (https://arxiv.org/abs/1812.01054) along with code for running the Omniglot experiment presented in the paper.,False,https://api.github.com/repos/amzn/metalearn-leap
93,milan,amzn/milan,Scala,"Milan is a Scala API and runtime infrastructure for building data-oriented systems, built on top of Apache Flink.",False,https://api.github.com/repos/amzn/milan
94,multiconer-baseline,amzn/multiconer-baseline,Python,,False,https://api.github.com/repos/amzn/multiconer-baseline
95,multilingual-keyphrase-generation,amzn/multilingual-keyphrase-generation,Python,,False,https://api.github.com/repos/amzn/multilingual-keyphrase-generation
96,multimodal-affinities,amzn/multimodal-affinities,Python,"Official implementation code accompanying the paper: ""Learning Multimodal Affinities for Textual Editing in Images"".",False,https://api.github.com/repos/amzn/multimodal-affinities
97,MXFusion,amzn/MXFusion,Python,Modular Probabilistic Programming on MXNet,False,https://api.github.com/repos/amzn/MXFusion
98,nimbus-jose-jwt_aws-kms-extension,amzn/nimbus-jose-jwt_aws-kms-extension,Java,This library package is an extension of nimbus-jose-jwt library. It provides JWE based encrypters/decrypters and JWS based signers/verifiers for doing operations with cryptographic keys stores in AWS KMS.,False,https://api.github.com/repos/amzn/nimbus-jose-jwt_aws-kms-extension
99,node-jose_aws-kms-extension,amzn/node-jose_aws-kms-extension,TypeScript,,False,https://api.github.com/repos/amzn/node-jose_aws-kms-extension
100,openapi-swift-code-generate,amzn/openapi-swift-code-generate,Swift,,False,https://api.github.com/repos/amzn/openapi-swift-code-generate
101,orthogonal-additive-gaussian-processes,amzn/orthogonal-additive-gaussian-processes,Python,Light-weighted code for Orthogonal Additive Gaussian Processes ,False,https://api.github.com/repos/amzn/orthogonal-additive-gaussian-processes
102,oss-attribution-builder,amzn/oss-attribution-builder,TypeScript,"The OSS Attribution Builder is a website that helps teams create attribution documents (notices, ""open source screens"", credits, etc) commonly found in software products.",False,https://api.github.com/repos/amzn/oss-attribution-builder
103,oss-contribution-tracker,amzn/oss-contribution-tracker,TypeScript,Track contributions made to external projects and manage CLAs,False,https://api.github.com/repos/amzn/oss-contribution-tracker
104,oss-dashboard,amzn/oss-dashboard,Ruby,A dashboard for viewing many GitHub organizations at once.,False,https://api.github.com/repos/amzn/oss-dashboard
105,pecos,amzn/pecos,Python,PECOS - Prediction for Enormous and Correlated Spaces,False,https://api.github.com/repos/amzn/pecos
106,pretraining-or-self-training,amzn/pretraining-or-self-training,Python,"Codebase for the paper ""Rethinking Semi-supervised Learning with Language Models""",False,https://api.github.com/repos/amzn/pretraining-or-self-training
107,python-jose_aws-kms-extension,amzn/python-jose_aws-kms-extension,Python,,False,https://api.github.com/repos/amzn/python-jose_aws-kms-extension
108,rdma-core,amzn/rdma-core,C,RDMA core userspace libraries and daemons,False,https://api.github.com/repos/amzn/rdma-core
109,refuel-open-domain-qa,amzn/refuel-open-domain-qa,Python,,False,https://api.github.com/repos/amzn/refuel-open-domain-qa
110,rete-thewebconf-2022,amzn/rete-thewebconf-2022,Python,,False,https://api.github.com/repos/amzn/rete-thewebconf-2022
111,rheoceros,amzn/rheoceros,Python,Cloud-based AI / ML workflow and data application development framework,False,https://api.github.com/repos/amzn/rheoceros
112,robotiq-gripper-interface,amzn/robotiq-gripper-interface,C++,,False,https://api.github.com/repos/amzn/robotiq-gripper-interface
113,sample-fire-tv-app-video-skill,amzn/sample-fire-tv-app-video-skill,Java,"This sample Fire TV app shows how to integrate an Alexa video skill in a simple, basic way. ",False,https://api.github.com/repos/amzn/sample-fire-tv-app-video-skill
114,selling-partner-api-docs,amzn/selling-partner-api-docs,HTML,This repository contains documentation for developers to use to call Selling Partner APIs.,False,https://api.github.com/repos/amzn/selling-partner-api-docs
115,selling-partner-api-models,amzn/selling-partner-api-models,Java,This repository contains OpenAPI models for developers to use when developing software to call Selling Partner APIs.,False,https://api.github.com/repos/amzn/selling-partner-api-models
116,selling-partner-api-samples,amzn/selling-partner-api-samples,Java,Sample code for Amazon Selling Partner API use cases,False,https://api.github.com/repos/amzn/selling-partner-api-samples
117,seqzero,amzn/seqzero,Python,,False,https://api.github.com/repos/amzn/seqzero
118,service-model-swift-code-generate,amzn/service-model-swift-code-generate,Swift,Modular code generator to generate Swift applications from service models.,False,https://api.github.com/repos/amzn/service-model-swift-code-generate
119,sketch-constructor,amzn/sketch-constructor,JavaScript,Read/write/manipulate Sketch files in Node without Sketch plugins!,False,https://api.github.com/repos/amzn/sketch-constructor
120,smoke-aws,amzn/smoke-aws,Swift,AWS services integration for the Smoke Framework,False,https://api.github.com/repos/amzn/smoke-aws
121,smoke-aws-credentials,amzn/smoke-aws-credentials,Swift,A library to obtain and assume automatically rotating AWS IAM roles written in the Swift programming language.,False,https://api.github.com/repos/amzn/smoke-aws-credentials
122,smoke-aws-generate,amzn/smoke-aws-generate,Swift,Code generator to generate the SmokeAWS library from service models.,False,https://api.github.com/repos/amzn/smoke-aws-generate
123,smoke-aws-support,amzn/smoke-aws-support,Swift,,False,https://api.github.com/repos/amzn/smoke-aws-support
124,smoke-dynamodb,amzn/smoke-dynamodb,Swift,"SmokeDynamoDB is a library to make it easy to use DynamoDB from Swift-based applications, with a particular focus on usage with polymorphic database tables (tables that do not have a single schema for all rows).",False,https://api.github.com/repos/amzn/smoke-dynamodb
125,smoke-framework,amzn/smoke-framework,Swift,A light-weight server-side service framework written in the Swift programming language.,False,https://api.github.com/repos/amzn/smoke-framework
126,smoke-framework-application-generate,amzn/smoke-framework-application-generate,Swift,Code generator to generate SmokeFramework-based applications from service models.,False,https://api.github.com/repos/amzn/smoke-framework-application-generate
127,smoke-framework-examples,amzn/smoke-framework-examples,Swift,Sample applications showing the usage of the SmokeFramework and related libraries.,False,https://api.github.com/repos/amzn/smoke-framework-examples
128,smoke-http,amzn/smoke-http,Swift,Specialised HTTP Client for service operations abstracted from the HTTP protocol.,False,https://api.github.com/repos/amzn/smoke-http
129,sparse-vqvae,amzn/sparse-vqvae,Python,Experimental implementation for a sparse-dictionary based version of the VQ-VAE2 paper,False,https://api.github.com/repos/amzn/sparse-vqvae
